added at,release date,name,album,artist(s),id
2019-02-18T16:38:22+00:00,2015-11-04,Sittin Here,Major Major,Supermassive,spotify:track:0eEtvptSMs3Ib3llWU7FEg
2019-02-18T16:33:48+00:00,2015-06-02,Soul Sucker,Soul Sucker,This Century,spotify:track:2r9FzMbHKTerCltJsWLDrq
2019-02-18T16:28:12+00:00,2016-03-01,Circles,Babe,Vista Kicks,spotify:track:50Ay3E1BdO6kogIp9aMxr2
2019-02-18T16:24:10+00:00,2013-08-08,Freaky Love,Freaky Love,Captain Kidd,spotify:track:7o7XA7UMKl3Dm1d3sEBwwM
2019-02-18T16:17:21+00:00,2013-01-01,San Francisco,Waiting For The Dawn,The Mowgli's,spotify:track:2eQOMQkStoRUQyq6HGh1iG
2019-02-18T16:14:04+00:00,2015-09-25,Lay by Me,firekid,firekid,spotify:track:5HUynLdprJzINndFXcidfu
2019-02-18T16:13:26+00:00,2011-01-01,Book Club,Michigan Left,Arkells,spotify:track:0zgR6ooskB7meospZ252Ho
2019-02-18T16:06:56+00:00,2015-06-16,It's Cool,Sponge Fingerz,New Beat Fund,spotify:track:4QVEO39gMRxWcAqwegFJNU
2019-02-18T15:59:03+00:00,2015-03-13,Day in June,Home Before the Dark (Exclusive Spotify Edition),Kid Astray,spotify:track:5PkONbXO6inusHXumcX8Jv
2019-02-18T15:55:54+00:00,2014-09-16,Can't Stop Now,In Bardo,White Arrows,spotify:track:7Fxb0J8kBJ0H4IDxvhamhp
2019-02-15T19:54:38+00:00,2014-03-04,Waves,Kid Tiger,Daniel Ellsworth & The Great Lakes,spotify:track:2954vJZtASZ2Gjk59NPmmL
2019-02-15T19:51:43+00:00,2014-04-22,Sharon,Greetings from Good San Juan,Good San Juan,spotify:track:3YcpHA5BNT66TgI1I00GfW
2019-02-15T19:47:03+00:00,2011,Cough Syrup,Young The Giant (Special Edition),Young the Giant,spotify:track:1UqhkbzB1kuFwt2iy4h29Q
2019-02-13T03:35:17+00:00,1978-10-10,Hold the Line,Toto,TOTO,spotify:track:4aVuWgvD0X63hcOCnZtNFA
2019-02-05T00:41:22+00:00,2014-02-04,A Month of Sunshine,A Month of Sunshine,Fever Dreamer,spotify:track:0IL6f09p8XLOuSi22wQs8A
2019-02-05T00:41:22+00:00,2014-08-16,Pull Me Closer,Static Waves EP,Static Waves,spotify:track:37LHRN0Cj8sK3qxz6wZmf2
2019-02-05T00:41:21+00:00,2016-03-18,Me and You,Me and You,The Modern Glitch,spotify:track:5B9V61n5EpfBde7zjAYy07
2019-02-05T00:41:20+00:00,2016-03-30,Tryouts,Tryouts,90 Pounds of Pete,spotify:track:2aKyDYj0a6yThlgtoWEBxF
2019-02-05T00:41:20+00:00,2015-03-10,If Only,Moodswings,Ships Have Sailed,spotify:track:10OjtySLPWbVHJRB71MjJi
2019-02-05T00:41:19+00:00,2015-02-19,Old House,Old House,Armors,spotify:track:75sovBwbdAlmbqupbm9b5y
2019-02-05T00:41:18+00:00,2012-08-14,Tickle,What You Want [If You Want],Eyes Lips Eyes,spotify:track:74BNcrrfzMTh66O8KMpsKk
2019-02-05T00:17:45+00:00,2015-11-13,Ghost Town,Ghost Town,Whosah,spotify:track:5oGAVeMsMPeUu3nAa2bQ4e
2019-02-05T00:17:42+00:00,2014-10-28,Freak,Freak,Olivver the Kid,spotify:track:1myeLS5VH2GKfZFBdD9TfB
2019-02-05T00:17:42+00:00,2015-11-21,Where Do We Go from Here,Experience the Al Bairre Show With Al Bairre Experience,Al Bairre,spotify:track:6luLsRZ41am7UwwQq7rEzJ
2019-02-05T00:17:41+00:00,2015-04-28,Coming Attractions,500 Days of Whatever,Nodaway,spotify:track:77K53irygR80KeKAdt3vfT
2019-02-05T00:17:40+00:00,2014-11-14,Sunburns,Lesser Oceans,Fences,spotify:track:2HsujUs8NXa0QIshm53C0u
2019-02-04T23:59:18+00:00,2015-07-20,Tether,Tether,Sleep State,spotify:track:49AY652l5Ubg7roDGHGVOY
2019-02-04T23:56:15+00:00,2017-06-13,Poison,Part One,Jet Black Alley Cat,spotify:track:16vCpmGftIPbqNZv5i5bjz
2019-02-04T23:56:13+00:00,2015-06-30,Outcast,Outcast,Mainland,spotify:track:0vN3ukgmpzsDy5LJWSLctt
2019-02-04T23:47:48+00:00,2015-01-01,Glass Heart - Demo,Magic Giant,MAGIC GIANT,spotify:track:6fZFmODHMhu3efn5xjBjPA
2019-02-04T23:44:31+00:00,2015-09-21,California,California,Paul Conrad,spotify:track:6UdFBqkgJwKPdO0Gcdg7kK
2019-02-04T23:43:33+00:00,2012-07-01,Beach Bones (feat. Ryan Ross),Beach Bones (feat. Ryan Ross),More Amor,spotify:track:7DkHzcJfyBEKsjKTUwB0LU
2019-02-04T23:43:33+00:00,2016-01-01,Absolutely,Need Your Light,Ra Ra Riot,spotify:track:5Xr3kB15eKqENAcghimU2Y
2019-02-04T23:33:48+00:00,2014-03-23,Digging Holes,Raglans,Raglans,spotify:track:6o9mzmkuq9FOLGeMdFLkA9
2019-02-04T23:31:07+00:00,2013-11-15,Hold Up Girl,Twenty One Rooms,NGHBRS,spotify:track:2KLDpPfYxbYTu1rZs0A9S9
2019-02-04T23:26:15+00:00,2015-06-02,Rolling Down The Hill,I'm Glad I'm Not Me,Born Cages,spotify:track:3mbfcLLAgmZEaCKx5vJCPE
2019-02-04T23:03:19+00:00,2014-02-25,Losing the Agreement,Crazy,Max and the Moon,spotify:track:1G65CPugae3iLdMWPweWTX
2019-02-04T23:03:18+00:00,2015-10-23,Pick Me Apart,I've Been Going Swimming,Active Bird Community,spotify:track:7hRNdm3mpn7j6Oxid9Qkbu
2019-02-04T23:03:13+00:00,2015-05-19,Crazy Bird,The Runaround,Wild Child,spotify:track:64zO6LBlzR8MxvHwPhgY05
2019-02-04T22:52:48+00:00,2012-06-26,Heart Beat,The New Electric Sound,The New Electric Sound,spotify:track:7HnxLTlRbpWqDewnGHemKh
2019-02-04T22:46:40+00:00,2012,Dying to Meet You,She's Only Sixteen,She's Only Sixteen,spotify:track:3JDo2GzmISfn1eJhxjUfNO
2019-02-04T19:49:01+00:00,2011-09-13,Kill It,My Blood Is Full Of Airplanes,The Cinema,spotify:track:4JuZEGrsatPb2FZVqpFS07
2019-01-30T21:23:59+00:00,2013-08-08,Am I Alive,Am I Alive,TEAM,spotify:track:1cNmFthx0hck7sTiXG4EBZ
2019-01-30T21:16:33+00:00,2016-08-05,Top,Audio Paradiso,Hoonch,spotify:track:1uFh8yvT8AUS3LLpVPRlor
2019-01-30T20:59:19+00:00,2015-04-14,Worlds On Fire,Darling,Zerbin,spotify:track:2lmKLINBKNk8UVVSVfS8iC
2019-01-30T20:53:38+00:00,2013-11-24,Rising Sand,Youthemism,Coral Bones,spotify:track:5dTRdpK9JDRVaMDeIyexuY
2019-01-30T20:50:15+00:00,2014,Sheep In Wolves Clothes,Gold Fever,little hurricane,spotify:track:3Zq9gmZFVKoeWt5LXv45q6
2019-01-29T21:43:28+00:00,2019-01-24,Everybody Wants to Rule the World,Weezer (Teal Album),Weezer,spotify:track:3gEoKDn0uhb9qqLwC16tly
2019-01-29T21:43:28+00:00,2019-01-24,Take on Me,Weezer (Teal Album),Weezer,spotify:track:1ZB2qWsheGabSEYvBYxjKn
2019-01-29T21:43:28+00:00,2019-01-24,Happy Together,Weezer (Teal Album),Weezer,spotify:track:3KxOYNt66Hj42HzO7ao0CV
2019-01-29T21:43:28+00:00,2019-01-24,Mr. Blue Sky,Weezer (Teal Album),Weezer,spotify:track:7ptKh9V0xt8CjLn0Z7ZgYd
2019-01-26T19:21:55+00:00,2013-09-20,Everybody's Dancing and I Want to Die,Old Souls,Deaf Havana,spotify:track:6gGUwCLK5MLPIRJPrPRA41
2019-01-26T19:21:54+00:00,2007-09-29,How Far We've Come,Exile on Mainstream (International),Matchbox Twenty,spotify:track:3k2Zv2luPZHpxfFjGpr4Mm
2019-01-26T19:21:54+00:00,2009-04-25,Love At First Sight,Violent Things,The Brobecks,spotify:track:4meLiXR44Kg4MdXoVSO58C
2019-01-26T19:07:03+00:00,2019-01-24,2021,Harmony Hall / 2021,Vampire Weekend,spotify:track:7D3fFG8XtOI7v0pD2fUmsr
2019-01-26T19:07:01+00:00,2019-01-24,Harmony Hall,Harmony Hall / 2021,Vampire Weekend,spotify:track:5kXDF4OmM5COyeo6z97nEk
2019-01-26T19:03:28+00:00,2017-03-10,Work It Out,The Heights,Knox Hamilton,spotify:track:0HsE2zUH1uZg7Bnsjf51TM
2019-01-26T19:03:27+00:00,2014-10-07,Am I Alive,Absent Sounds,From Indian Lakes,spotify:track:5dvHlfjmu4AaxlTbUYQabN
2019-01-26T19:03:26+00:00,2011,You Told the Drunls I Knew Karate,Propeller Versus Wings,Zoey Van Goey,spotify:track:0cSndRbNFjicNcfSzgBrQ8
2019-01-26T18:52:06+00:00,2012-10-29,Cultured Man,Ancient Mars,The Zolas,spotify:track:6NJFnjvLtMedZRVdrQ7QyT
2019-01-26T18:47:05+00:00,2013-11-29,Don't Ask Me Why,Don't Ask Me Why,Great Caesar,spotify:track:06QdJtEtHOckzHhq5EbTfo
2019-01-26T18:47:05+00:00,2013-04-22,Couch Potato,"Good Morning, Sunshine",Shortstraw,spotify:track:5BsYcBRgqetNrAKpQzpHrK
2019-01-26T18:39:33+00:00,2013-11-19,Mr. Redundant,Seven + Mary,Rainbow Kitten Surprise,spotify:track:2yPiN3T8Z0YE4uovhPyaB3
2019-01-26T18:35:35+00:00,2015-07-01,Roman Candle,Roman Candle,Ottawa,spotify:track:3EMCnjXrS6HCsyN5cTZOaS
2019-01-26T18:35:33+00:00,2013-03-26,Perspective,Portrait - EP,Polite Fiction,spotify:track:1z9t09cCzfOz9R8UYjirt8
